aardwolf aardwolves
abacus abaci
aboideau aboideaux
aboiteau aboiteaux
abscissa abscissae
acanthus acanthi
acarus acari
acciaccatura acciaccature
acetabulum acetabula
achaemenid achaemenidae achaemenides
acicula aciculae
aciculum acicula
acinus acini
acromion acromia
actinia actiniae
actinozoan actinozoa
addendum addenda
adenocarcinoma adenocarcinomata
adenoma adenomata
adieu adieux
adytum adyta
aecidium aecidia
aecium aecia
aerobium aerobia
aggiornamento aggiornamenti
agnomen agnomina
agon agones
agora agorae
agouti agouties
ala alae
alewife alewives
alkali alkalies
allodium allodia
alluvium alluvia
alodium alodia
altocumulus altocumuli
altostratus altostrati
alula alulae
alumna alumnae
alumnus alumni
alveolus alveoli
amanuensis amanuenses
ambulacrum ambulacra
ameba amebae
amniocentesis amniocenteses
amnion amnia
amoeba amoebae
amoebiasis amoebiases
amora amoraim
amoretto amoretti
amorino amorini
amphiarthrosis amphiarthroses
amphimixis amphimixes
amphioxus amphioxi
amphisbaena amphisbaenae
amphithecium amphicia
amphora amphorae
ampulla ampullae
amygdala amygdalae
anabasis anabases
anacoluthon anacolutha
anacrusis anacruses
anaerobium anaerobia
anagnorisis anagnorises
analemma analemmata
analysis analyses
anamnesis anamneses
anamorphosis anamorphoses
anaptyxis anatyxes
anastomosis anastomoses
ancone ancones ancon
androclinium androclinia
androecium androecia
androsphinx androsphinges
angelfish angelfishes
angioma angiomata
animalculum animalcula
anlage anlagen
annatto annattos anatto
annulus annuli
anta antae
antalkali antalkalies
antefix antefixa
antenna antennae
antependium antependia
anthelion anthelia
anthelix anthelices
anthemion anthemia
antheridium andtheridia antheridia
anthodium anthodia
anthozoan anthozoa
anthrax anthraces
anticlinorium anticlinoria
antihelix antihelices
antihero antiheroes
antiserum antisera
antithesis antitheses
antitragus antitragi
antrum antra
aorta aortae
apex apices
aphelion aphelia
aphis aphides
apodosis apodoses
apomixis apomixes
aponeurosis aponeuroses
apophysis apophyses
aposiopesis aposiopeses
apothecium apothecia
apotheosis apotheoses
apparatus apparatus
appendix appendices
appoggiatura appoggiature
apsis apsides
aqua aquae
aquarium aquaria
arboretum arboreta
arcanum arcana
archegonium archegonia
archerfish archerfishes
archesporium archesporia
archipelago archipelagoes
areola areolae
argali araglis argali
argumentum argumenta
arietta ariette
arista aristae
armamentarium armamentaria
arsis arses
arteriosclerosis arterioscleroses
aruspex aruspices
ascesis asceses
ascidium ascidia
ascogonium ascogonia
ascus asci
ash ashes
